source,destination,median_delay_ratio,pct_delayed,volume,median_actual_time,median_osrm_time,is_chronic,delay_volume_score
IND000000ACB,IND562132AAA,1.5,0.8058681672025724,4976,31.0,20.0,1,7464.0
IND562132AAA,IND000000ACB,1.4666666666666666,0.8027744270205066,3316,32.0,20.0,1,4863.466666666666
IND000000ACB,IND712311AAA,1.6666666666666667,0.9011180992313068,2862,29.0,17.0,1,4770.0
IND000000ACB,IND421302AAG,1.6470588235294117,0.8862090290661719,1617,32.0,20.0,1,2663.2941176470586
IND000000ACB,IND501359AAE,1.588235294117647,0.8206223306894448,1639,32.0,19.0,1,2603.1176470588234
IND421302AAG,IND000000ACB,1.6963109354413701,0.9101654846335697,1269,34.0,19.0,1,2152.6185770750985
IND781018AAB,IND110037AAM,1.7586206896551724,0.8830255057167986,1137,36.0,21.0,1,1999.551724137931
IND421302AAG,IND562132AAA,1.5294117647058822,0.8735632183908046,1131,29.0,18.0,1,1729.764705882353
IND000000ACB,IND411033AAA,1.5,0.7294642857142857,1120,29.0,19.0,1,1680.0
IND000000ACB,IND600056AAB,1.619047619047619,0.8413793103448276,1015,32.0,19.0,1,1643.3333333333333
IND421302AAG,IND110037AAM,1.6666666666666667,0.8715025906735752,965,34.0,19.0,1,1608.3333333333335
IND562132AAA,IND302014AAA,1.625,0.820040899795501,978,32.0,19.0,1,1589.25
IND562132AAA,IND751002AAB,1.75,0.9559902200488998,818,34.0,18.0,1,1431.5
IND854326AAB,IND000000ACB,1.5714285714285714,0.8197997775305895,899,32.0,19.0,1,1412.7142857142858
IND395023AAA,IND562132AAA,1.5,0.8342245989304813,935,30.0,19.0,1,1402.5
IND411033AAA,IND000000ACB,1.5,0.7283549783549783,924,30.0,19.0,1,1386.0
IND110037AAM,IND421302AAG,1.619047619047619,0.8650306748466258,815,33.0,20.0,1,1319.5238095238096
IND000000ACB,IND751002AAB,1.5,0.798358733880422,853,35.0,21.0,1,1279.5
IND160002AAC,IND000000ACB,1.76,0.9650837988826816,716,36.0,19.0,1,1260.16
IND751002AAB,IND562132AAA,1.7647058823529411,0.9291784702549575,706,35.0,18.0,1,1245.8823529411764
IND395023AAA,IND110037AAM,1.6,0.8822768434670116,773,30.0,18.0,1,1236.8000000000002
IND000000ACB,IND160002AAC,1.8235294117647058,0.961890243902439,656,35.0,18.0,1,1196.235294117647
IND421302AAG,IND131028AAB,1.6,0.8960863697705803,741,32.0,19.0,1,1185.6000000000001
IND421302AAG,IND712311AAA,1.7647058823529411,0.856071964017991,667,33.0,18.0,1,1177.0588235294117
IND000000ACB,IND842001AAA,1.631578947368421,0.9055555555555556,720,30.0,18.0,1,1174.7368421052631
IND421302AAG,IND501359AAE,1.75,0.8390461997019374,671,33.0,19.0,1,1174.25
IND000000ACB,IND821115AAB,1.75,0.8781954887218045,665,32.0,18.0,1,1163.75
IND000000ACB,IND834002AAB,1.5357142857142858,0.8381344307270233,729,30.0,19.0,1,1119.5357142857144
IND501359AAE,IND462022AAA,1.75,0.8859934853420195,614,36.0,20.0,1,1074.5
IND712311AAA,IND000000ACB,1.6,0.7644376899696048,658,29.0,18.0,1,1052.8
IND000000ACB,IND521225AAB,1.5,0.7900874635568513,686,34.0,22.0,1,1029.0
IND209304AAA,IND000000ACB,1.6,0.7977707006369427,628,32.0,18.5,1,1004.8000000000001
IND562132AAA,IND462022AAA,1.5789473684210527,0.8816,625,30.0,19.0,1,986.8421052631579
IND825409AAA,IND000000ACB,1.5833333333333333,0.8110749185667753,614,30.0,18.0,1,972.1666666666666
IND560099AAB,IND560300AAA,1.5294117647058822,0.7041322314049587,605,20.0,12.0,1,925.2941176470588
IND462022AAA,IND209304AAA,1.76,0.9257142857142857,525,34.0,20.0,1,924.0
IND382430AAB,IND000000ACB,1.6363636363636365,0.9175627240143369,558,35.0,18.0,1,913.0909090909091
IND000000ACB,IND382430AAB,1.6,0.9048473967684022,557,35.0,18.0,1,891.2
IND421302AAG,IND444005AAB,2.1052631578947367,0.9880668257756563,419,41.0,19.0,1,882.1052631578947
IND462022AAA,IND000000ACB,1.3076923076923077,0.5341246290801187,674,36.0,29.0,1,881.3846153846154
IND562132AAA,IND560300AAA,1.4615384615384615,0.7346600331674958,603,19.0,13.0,1,881.3076923076923
IND501359AAE,IND411033AAA,1.7894736842105263,0.8833333333333333,480,31.0,17.0,1,858.9473684210526
IND444005AAB,IND421302AAG,2.0,0.9832935560859188,419,36.0,18.0,1,838.0
IND834002AAB,IND000000ACB,1.6,0.7829787234042553,470,30.0,18.0,1,752.0
IND751002AAB,IND712311AAA,1.75,0.9261904761904762,420,31.0,18.0,1,735.0
IND562132AAA,IND560099AAB,1.44,0.7440944881889764,508,18.0,13.0,1,731.52
IND712311AAA,IND751002AAB,1.6,0.8289473684210527,456,31.0,19.0,1,729.6
IND400072AAD,IND421302AAG,2.5833333333333335,0.9148936170212766,282,19.0,9.0,1,728.5
IND110037AAM,IND209304AAA,1.6,0.9621380846325167,449,30.0,18.0,1,718.4000000000001
IND411033AAA,IND421302AAG,1.3793103448275863,0.7384615384615385,520,36.0,25.0,1,717.2413793103449
IND560300AAA,IND560099AAB,1.6770833333333335,0.7417061611374408,422,21.0,12.0,1,707.7291666666667
IND000000ACB,IND131028AAB,0.9473684210526315,0.4143049932523617,741,19.0,21.0,0,702.0
IND131028AAB,IND000000ACB,0.9230769230769231,0.35657894736842105,760,17.0,19.0,0,701.5384615384615
IND421302AAG,IND400072AAB,2.25,0.9348534201954397,307,18.0,8.0,1,690.75
IND421302AAG,IND462022AAA,1.919871794871795,0.9441340782122905,358,35.0,18.0,1,687.3141025641025
IND712311AAA,IND421302AAG,1.8125,0.8689839572192514,374,35.0,18.0,1,677.875
IND562132AAA,IND411033AAA,1.5294117647058822,0.8981900452488688,442,27.0,18.0,1,676.0
IND000000ACB,IND462022AAA,1.4516129032258065,0.7205240174672489,458,37.0,27.0,1,664.8387096774194
IND110044AAB,IND000000ACB,1.4375,0.7064017660044151,453,15.0,10.0,1,651.1875
IND834002AAB,IND826004AAA,2.25,0.8571428571428571,287,20.0,9.0,1,645.75
IND306401AAB,IND305001AAC,1.9166666666666667,0.8640483383685801,331,14.0,7.0,1,634.4166666666667
IND000000ACB,IND390022AAA,1.5625,0.8415584415584415,385,30.0,20.0,1,601.5625
IND421302AAG,IND411033AAA,1.68,0.8539325842696629,356,39.0,24.0,1,598.0799999999999
IND560099AAB,IND562132AAA,1.4,0.7287735849056604,424,16.0,12.0,1,593.5999999999999
IND421302AAG,IND382430AAB,1.7647058823529411,0.9575757575757575,330,35.0,18.0,1,582.3529411764706
IND000000ACB,IND121002AAB,1.6923076923076923,0.8328445747800587,341,18.0,11.0,1,577.0769230769231
IND560300AAA,IND562132AAA,1.35,0.6023529411764705,425,24.0,17.0,1,573.75
IND000000ACA,IND160002AAC,1.8666666666666667,0.9240924092409241,303,29.0,15.0,1,565.6
IND411033AAA,IND521225AAB,1.65,0.8123167155425219,341,32.0,19.0,1,562.65
IND411033AAA,IND403726AAA,1.6785714285714286,0.8507462686567164,335,38.0,24.0,1,562.3214285714286
IND416012AAA,IND395023AAA,1.526610644257703,0.7849162011173184,358,30.0,20.0,1,546.5266106442576
IND501359AAE,IND751002AAB,1.7777777777777777,0.9867986798679867,303,33.0,18.0,1,538.6666666666666
IND000000ACB,IND201301AAM,1.6817279046673286,0.8223684210526315,304,20.0,11.0,1,511.2452830188679
IND144001AAC,IND160002AAC,2.0,0.8661417322834646,254,13.0,6.0,1,508.0
IND411033AAA,IND562132AAA,1.5,0.8195266272189349,338,27.0,17.0,1,507.0
IND000000ACB,IND209304AAA,1.8666666666666667,0.8736059479553904,269,35.0,18.0,1,502.1333333333333
IND382430AAB,IND395023AAA,1.632456140350877,0.9,300,34.0,18.0,1,489.7368421052631
IND712311AAA,IND781018AAB,2.3529411764705883,0.9901477832512315,203,57.0,22.0,1,477.64705882352945
IND411033AAA,IND413002AAA,1.4666666666666666,0.8024691358024691,324,24.0,17.0,1,475.2
IND411033AAA,IND431603AAA,1.8461538461538463,1.0,253,37.0,19.0,1,467.0769230769231
IND400072AAB,IND421302AAG,2.5454545454545454,0.95,180,19.0,9.0,1,458.1818181818182
IND834002AAB,IND827013AAA,2.7083333333333335,0.8106508875739645,169,24.0,11.0,1,457.70833333333337
IND421302AAG,IND834002AAB,1.8229166666666665,0.9105691056910569,246,36.0,19.0,1,448.43749999999994
IND421302AAG,IND400015AAA,2.125,0.9086538461538461,208,14.0,7.0,1,442.0
IND530012AAA,IND532001AAB,1.6666666666666667,0.9128787878787878,264,12.0,7.0,1,440.0
IND600032AAB,IND600056AAB,1.7777777777777777,0.8987854251012146,247,15.0,8.0,1,439.1111111111111
IND413002AAA,IND501359AAE,2.0,0.7889908256880734,218,34.0,18.0,1,436.0
IND821115AAB,IND000000ACB,1.6875,0.8326848249027238,257,33.0,18.0,1,433.6875
IND000000ACT,IND000000ACB,1.375,0.6847133757961783,314,17.0,12.0,1,431.75
